Anlass;Disziplin;Alexander;Lorenz;Distanz;Jahr;Nr;Block;Zeit;Kat_Rang;Kat_Teiln;M_Rang;M_Teiln;Gewicht;Kommentar
Thuner Stadtlauf;Run;0;0;10000;2002;;;0:40:47.7;22;52;133;383;;
Thuner Stadtlauf;Run;0;0;10000;2008;;;0:39:58.1;23;123;69;468;;ziemlich heiss
Thuner Stadtlauf;Run;0;0;10000;2009;1035;1;0:40:11.7;26;136;74;479;;
Thuner Stadtlauf;Run;0;0;10000;2011;1890;1;0:40:33.1;33;134;83;530;;heiss
Thuner Stadtlauf;Run;0;0;10000;2012;1078;1;0:40:19.2;28;135;80;509;;warm
Thuner Stadtlauf;Run;0;0;10000;2013;1047;1;0:41:01.5;35;139;114;542;;
Grand Prix von Bern;Run;0;0;16093;2003;5541;5;1:11:30.6;352;1186;1949;8903;;heiss
Grand Prix von Bern;Run;0;0;16093;2004;4560;4;1:07:52.7;263;1205;1358;9272;;ideale Bedingungen
Grand Prix von Bern;Run;0;0;16093;2005;2568;2;1:10:22.9;251;1259;1403;9646;;sehr heiss, tüppig
Grand Prix von Bern;Run;0;0;16093;2006;2552;2;1:18:44.8;647;1281;4215;10352;;schwül, wenig trainiert…
Grand Prix von Bern;Run;0;0;16093;2008;4492;4;1:09:46.0;305;2292;906;8962;;warm, aber nicht schwül
Grand Prix von Bern;Run;0;0;16093;2009;4455;4;1:07:34.0;248;2289;702;8697;;ideale Bedingungen, 16 Grad
Grand Prix von Bern;Run;0;0;16093;2010;2514;2;1:09:47.9;346;3965;964;10916;;warm, aber nicht schwül
Grand Prix von Bern;Run;0;0;16093;2011;2503;2;1:07:20.5;348;3973;984;9988;;Regen, ziemlich frisch
Grand Prix von Bern;Run;0;0;16093;2012;17875;2;1:08:13.3;343;2433;1001;9810;;Strömender Regen, ziemlich kalt
Grand Prix von Bern;Run;0;0;16093;2013;16978;2;1:11:54.3;446;2495;1380;10118;;warm
Grand Prix von Bern;Run;0;0;16093;2014;18090;3;1:11:19.8;408;2724;1291;10789;;warm
Grand Prix von Bern;Run;0;0;16093;2015;16179;3;1:09:25.0;301;2574;921;10135;;warm
Grand Prix von Bern;Run;0;0;16093;2016;18793;3;1:07:13.9;262;2513;752;9826;76.2;kühl, perfekt
Grand Prix von Bern;Run;0;0;16093;2017;5314;3;1:09:00.0;118;1319;777;9953;76.7;warm, Schmerzen im linken Bein
Grand Prix von Bern;Run;0;0;16093;2018;6438;2;1:09:09.1;121;1161;928;9143;76.4;
Brienzerseelauf;Run;0;0;21097.5;2007;639;;1:30:02.0;20;70;49;205;;Start nicht genau definiert, keine exakte Zeitmessung
Brienzerseelauf;Run;0;0;21097.5;2008;645;;1:29:13.0;27;79;58;211;;Neu mit Zeitmesschip
Niesen Treppenlauf;Run;0;0;3700;2011;176;;1:24:00.0;46;130;69;209;;
Niesen Treppenlauf;Run;0;0;3700;2012;135;;1:22:30.0;38;130;51;200;;Bei Schwandegg in 47'
Niesen Treppenlauf;Run;0;0;3700;2014;118;;1:24:32.0;31;71;47;121;;Bei Schwandegg in 47'
Niesen Treppenlauf;Run;0;0;3700;2015;101;;1:26:05.0;30;88;44;155;;Bei Schwandegg in 48'
Niesen Treppenlauf;Run;0;0;3700;2016;153;;1:24:40.0;25;90;51;193;76;Bei Schwandegg in 47' / selber gestoppte Schlusszeit
Niesen Treppenlauf;Run;0;0;3700;2018;175;;1:21:01.7;20;116;38;228;76.9;Bei Schwandegg in 45'
Stockhorn Halbmarathon;Run;0;0;21097.5;2011;258;;2:38:15.0;40;88;128;325;;
Stockhorn Halbmarathon;Run;0;0;21097.5;2012;237;;2:24:41.0;32;97;86;350;;10km: 53min / 15km: 1h26, gerannt bis 20km
Stockhorn Halbmarathon;Run;0;0;21097.5;2015;333;;2:26:03.0;25;89;75;335;;ideale Bedingungen
Berner Bärgloufcup: Gurten (Tag 1);Run;0;0;3600;2017;307;;0:19:54.0;17;46;51;171;77.1;
Berner Bärgloufcup: Bantiger (Tag 4);Run;0;0;4800;2017;307;;0:26:24.0;15;43;45;158;76.3;
Halbmarathon Lausanne;Run;0;0;21097.5;2004;5481;;1:34:34.0;99;390;400;2241;;
Luzern Halbmarathon;Run;0;0;21097.5;2011;4610;2;1:31:19.3;163;1164;453;4123;;
Luzern Halbmarathon;Run;0;0;21097.5;2012;5640;1;1:37:13.6;261;1023;792;3744;;Schneefall...
Luzern Halbmarathon;Run;0;0;21097.5;2013;2884;1;1:32:20.1;192;1169;496;4163;;Ununterbrochener Regen
Luzern Halbmarathon;Run;0;0;21097.5;2014;3865;1;1:31:50.3;171;1226;470;4243;;
Luzern Halbmarathon;Run;0;0;21097.5;2015;3654;2;1:29:19.9;60;601;353;4071;76.5;ideale Bedingungen
Luzern Halbmarathon;Run;0;0;21097.5;2017;3001;1;1:29:25.4;61;594;330;4163;76.3;ideale Bedingungen
Luzern Halbmarathon;Run;0;0;21097.5;2018;2184;1;1:33:01.2;91;572;553;4031;;Kühl, Eisregen letztes Drittel
Luzerner Stadtlauf (Familienkategorie);Run;1;0;1600;2018;18521;;12:23.40;11;103;;;76.5;
Luzerner Stadtlauf (Musegg Classic);Run;0;0;7200;2018;6748;;0:28:32.2;;;;;76.5;Mit Alexander
Kerzerslauf;Run;0;0;15000;2013;3050;14;1:06:17.1;120;358;718;3239;;
Bay to Breakers;Run;0;0;12000;2007;32910;2;1:13:26.0;4444;;3413;;;Rennen nicht immer möglich, Fotos gemacht...
Nationalpark Bike Marathon: Livigno - Scuol;Bike;0;0;;2014;2080;;3:39:28.0;10;58;40;188;;
Inferno;Bike;0;0;;2001;;;;;;;;;
Biennathlon;Bike;0;0;;2009;;;;;;;;;
Biennathlon;Bike;0;0;;2011;;;;;;;;;
Biennathlon;Bike;0;0;;2012;;;;;;;;;
Mountain Man;Run;0;0;21097.5;2018;254;;2:31:06.0;5;54;5;54;76.7;
