Sport;Einheit;2013;2014;2015;2016;2017;2018
Bike;Km;1327;696;807;745;914.6;1157.668571
Bike;Hm;36862;17726;16260;16880;27106;47033.76429
Bike;Zeit;136;55;63;71;79;111.3142857
Joggen;Km;857;1080;890;1011.63;991.99;813.9857143
Joggen;Hm;22467;22624;24026;31909;37887;28259.91429
Joggen;Zeit;93;106;94;108;113;0
Wandern;Km;339;446;353;121;87.94;0
Wandern;Hm;10808;8082;8086;1375;3488;0
Wandern;Zeit;81;112;103;50;34;0
Exersuisse;Anzahl;71;71;71;64;66;67.83214286
Skitage;Anzahl;8;0;8;0;5;0
Skitouren;Anzahl;3;0;0;1;1;0
Niesen;Anzahl;1;1;1;1;3;0
Gempen;Anzahl;26;26;30;19;0;0
Blauen;Anzahl;3;3;0;3;0;0
Bantiger;Anzahl;0;0;0;0;14;0
Gurten;Anzahl;1;0;1;16;42;0
